RELEASE T 0
PRESS C 123
PRESS I 223
RELEASE C 252
PRESS CAPS_LOCK 295
RELEASE I 307
PRESS E 350
RELEASE CAPS_LOCK 388
RELEASE E 397
PRESS S 480
RELEASE S 559
PRESS RIGHT_BRACKET 687
RELEASE RIGHT_BRACKET 770
MOVE -1 -1 30867
MOVE -1 -1 30870
MOVE -1 -1 30873
MOVE -1 -1 30888
MOVE -1 -1 30909
MOVE -1 -1 30912
MOVE -1 -1 30927
MOVE -1 -1 30936
MOVE -1 -1 30942
MOVE -1 -1 30953
MOVE -1 -1 30956
MOVE -1 -1 30963
MOVE -1 -1 30965
MOVE -1 -1 30969
MOVE -1 -1 30976
MOVE -1 -1 31002
MOVE -1 -1 31006
MOVE -1 -1 31011
MOVE -1 -1 31053
MOVE -1 -1 31062
MOVE -1 -1 31071
MOVE -1 -1 31077
MOVE -1 -1 31119
PRESS LEFT_MOUSE 31189
RELEASE LEFT_MOUSE 31260
PRESS ONE 31643
RELEASE ONE 31730
PRESS W 31925
RELEASE W 32030
PRESS RIGHT_SHIFT 32164
RELEASE RIGHT_SHIFT 32262
PRESS R 32267
PRESS I 32350
RELEASE R 32356
PRESS RIGHT_SHIFT 32425
RELEASE I 32434
RELEASE RIGHT_SHIFT 32499
PRESS S 33315
PRESS W 33338
RELEASE S 33377
RELEASE W 33423
PRESS Z 33465
RELEASE Z 33529
PRESS U 33566
PRESS B 33623
RELEASE U 33679
PRESS CAPS_LOCK 33689
RELEASE B 33722
RELEASE CAPS_LOCK 33737
PRESS K 33764
RELEASE K 33863
PRESS RIGHT_BRACKET 33946
RELEASE RIGHT_BRACKET 34003
MOVE 1 -1 34948
MOVE 1 -1 34955
MOVE 1 -1 34966
MOVE 1 -1 34970
MOVE 1 -1 34976
MOVE 1 -1 34983
MOVE 1 1 35024
MOVE 1 1 35031
MOVE 1 1 35038
MOVE 1 1 35042
MOVE 1 1 35059
MOVE 1 1 35063
MOVE 1 1 35068
MOVE 1 1 35079
MOVE 1 1 35119
MOVE -1 1 35855
MOVE -1 1 35875
MOVE -1 1 35898
MOVE -1 1 35901
MOVE -1 1 35906
MOVE -1 1 35924
MOVE -1 1 35927
MOVE -1 1 35930
MOVE -1 1 35950
MOVE -1 1 35953
MOVE -1 1 35975
MOVE -1 1 35986
MOVE -1 1 35988
MOVE -1 1 36009
MOVE -1 1 36023
MOVE -1 1 36034
MOVE -1 1 36039
MOVE -1 1 36081
MOVE -1 1 36085
MOVE -1 1 36088
MOVE -1 1 36107
MOVE -1 1 36144
MOVE -1 1 36177
PRESS LEFT_MOUSE 37658
RELEASE LEFT_MOUSE 37757
PRESS ZERO 38517
RELEASE ZERO 38573
PRESS RIGHT_BRACKET 38674
RELEASE RIGHT_BRACKET 38729
MOVE 1 1 39464
MOVE 1 1 39474
MOVE 1 1 39480
MOVE 1 1 39483
MOVE 1 1 39486
MOVE 1 1 39488
MOVE 1 1 39491
MOVE 1 1 39494
MOVE 1 1 39497
MOVE 1 1 39499
MOVE 1 1 39502
MOVE 1 1 39506
MOVE 1 1 39510
MOVE 1 1 39516
MOVE 1 1 39538
MOVE 1 1 39561
MOVE 1 1 39602
MOVE 1 1 39613
MOVE 1 1 39617
MOVE 1 1 39625
MOVE 1 1 39640
MOVE 1 1 39677
MOVE 1 1 39682
MOVE 1 1 39684
MOVE 1 1 39686
MOVE 1 1 39688
MOVE 1 1 39689
MOVE 1 1 39691
MOVE 1 1 39692
MOVE 1 1 39693
MOVE 1 1 39695
MOVE 2 1 39697
MOVE 1 1 39698
MOVE 1 1 39699
MOVE 1 1 39700
MOVE 1 1 39701
MOVE 1 1 39702
MOVE 2 2 39703
MOVE 1 1 39704
MOVE 2 1 39705
MOVE 1 1 39706
MOVE 2 2 39707
MOVE 1 1 39708
MOVE 2 2 39709
MOVE 2 1 39710
MOVE 1 2 39711
MOVE 3 1 39712
MOVE 1 2 39713
MOVE 2 2 39714
MOVE 3 2 39715
MOVE 2 2 39716
MOVE 2 2 39717
MOVE 2 2 39718
MOVE 2 2 39719
MOVE 2 2 39720
MOVE 3 2 39721
MOVE 2 2 39722
MOVE 2 3 39723
MOVE 3 2 39724
MOVE 2 3 39725
MOVE 3 3 39726
MOVE 2 2 39727
MOVE 3 3 39728
MOVE 3 3 39729
MOVE 2 3 39730
MOVE 3 3 39731
MOVE 3 3 39732
MOVE 3 3 39733
MOVE 3 3 39734
MOVE 2 4 39735
MOVE 3 3 39736
MOVE 3 4 39737
MOVE 3 3 39738
MOVE 3 4 39739
MOVE 4 3 39740
MOVE 3 4 39741
MOVE 3 4 39742
MOVE 4 4 39743
MOVE 3 4 39744
